id	OrderDate	id_Rep	id_Item	 Units Sold 
1	1-Jan-14	3	9	199
2	3-Jan-14	4	6	429
3	4-Jan-14	3	8	390
4	4-Jan-14	5	5	192
5	5-Jan-14	3	3	224
6	5-Jan-14	1	6	254
7	7-Jan-14	6	1	478
8	9-Jan-14	2	10	343
9	11-Jan-14	2	1	493
10	18-Jan-14	2	10	325
11	20-Jan-14	3	2	416
12	24-Jan-14	6	9	230
13	24-Jan-14	4	4	416
14	2-Feb-14	2	4	459
15	2-Feb-14	5	4	153
16	6-Feb-14	2	1	299
17	9-Feb-14	3	1	406
18	12-Feb-14	4	3	211
19	15-Feb-14	3	10	429
20	18-Feb-14	4	1	170
21	18-Feb-14	1	6	246
22	20-Feb-14	5	1	356
23	22-Feb-14	2	9	454
24	23-Feb-14	1	2	324
25	25-Feb-14	5	2	108
26	3-Mar-14	4	4	311
27	6-Mar-14	3	3	413
28	7-Mar-14	2	2	377
29	9-Mar-14	2	5	105
30	15-Mar-14	2	3	248
31	16-Mar-14	4	5	371
32	21-Mar-14	1	9	232
33	22-Mar-14	1	2	106
34	24-Mar-14	6	7	131
35	26-Mar-14	3	3	111
36	31-Mar-14	1	10	328
37	1-Apr-14	1	3	464
38	5-Apr-14	6	6	101
39	5-Apr-14	3	9	487
40	8-Apr-14	4	3	375
41	13-Apr-14	2	2	351
42	13-Apr-14	2	7	242
43	14-Apr-14	2	10	412
44	16-Apr-14	2	1	226
45	17-Apr-14	4	8	181
46	22-Apr-14	2	6	223
47	24-Apr-14	5	8	482
48	25-Apr-14	4	5	107
49	27-Apr-14	4	4	335
50	30-Apr-14	2	2	100
51	30-Apr-14	4	6	387
52	8-May-14	6	9	119
53	8-May-14	2	7	201
54	21-May-14	5	2	101
55	23-May-14	3	3	458
56	28-May-14	4	7	351
57	30-May-14	4	1	466
58	7-Jun-14	5	7	320
59	8-Jun-14	6	1	126
60	8-Jun-14	6	6	266
61	10-Jun-14	4	9	190
62	10-Jun-14	5	8	220
63	12-Jun-14	2	7	500
64	19-Jun-14	1	1	330
65	21-Jun-14	4	1	193
66	26-Jun-14	1	6	254
67	28-Jun-14	1	7	342
68	6-Jul-14	4	10	293
69	11-Jul-14	6	7	378
70	14-Jul-14	3	10	420
71	15-Jul-14	3	1	354
72	15-Jul-14	4	3	158
73	17-Jul-14	3	4	288
74	18-Jul-14	6	5	459
75	18-Jul-14	2	10	407
76	19-Jul-14	6	5	296
77	25-Jul-14	1	8	262
78	2-Aug-14	2	6	415
79	2-Aug-14	6	10	341
80	3-Aug-14	4	3	254
